,HTR2A,G9
beta1-Adrenoceptor Antagonists,NCGC00167832-04,,G8
Ketolide antibiotic,NCGC00167967-01,,G9
Aurora-A/B/C Kinase Inhibitor,NCGC00168110-01,PDE4A,G9
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00168459-04,,G8
HIV Protease Inhibitors,NCGC00168773-01,,G9
ribonucleotide reductase inhibitor,NCGC00168784-01,,G8
K+/ATP Signaling Inhibitor,NCGC00173359-06,,G9
K+/ATP Signaling Inhibitor,NCGC00173359-06,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,,G9
antimalarial agents,NCGC00179250-04,,G8
Polyether Antibiotic,NCGC00179454-04,,G9
Polyether Antibiotic,NCGC00179454-04,,G9
Antifungal Agent,NCGC00179596-04,,G8
Antifungal Agent,NCGC00179642-04,,G9
Antifungal Agent,NCGC00179642-04,PNP,G8
Purine-Nucleoside Phosphorylase Inhibitors,NCGC00181336-03,CYSLTR1,G9
Leukotriene CysLT1/2 (LTD4) Antagonist,NCGC00181765-01,SYK,G8
Syk Kinase inhibitor,NCGC00182051-02,SYK,G9
Histone Deacetylase/SIRT1 Activator,NCGC00182052-03,,G8
HIV Protease Inhibitors,NCGC00182552-03,,G9
HIV Protease Inhibitors,NCGC00182552-03,NAMPT,G8
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,G9
NMPRTase Inhibitor,NCGC00182868-02,,G8
HIV Protease Inhibitors,NCGC00183130-01,,G9
Bcr-Abl Kinase Inhibitor,NCGC00183285-04,,G8
Calcium Channel Blocker,NCGC00183837-01,,G9
Calcium Channel Blocker,NCGC00183837-01,ADRB1,G8
beta1-Adrenoceptor Antagonists,NCGC00183875-01,ADRB1,G9
APE1 inhibitor,NCGC00185090-03,EHMT2,G8
PI3K gamma Inhibitor,NCGC00186009-03,,G9
H+/K+-ATPase Inhibitor,NCGC00186013-01,,G8
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G9
IRAK Inhibitor,NCGC00186035-04,NFKB1,G8
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,G9
NF-kappaB signaling Inhibitor,NCGC00186460-01,BTK,G8
Btk/Lck/Lyn inhibitor,NCGC00187912-03,BTK,G9
Btk/Lck/Lyn inhibitor,NCGC00187912-03,BCL2L1,G8
Bcl-xL inhibitor,NCGC00188344-05,BCL2L1,G9
Mek 1/2 inhibitor,NCGC00188380-01,ITK,G8
ITK inhibitor,NCGC00188382-04,ITK,G9
P2Y12 (P2T) Antagonists,NCGC00188690-02,ADRA1A,G8
alpha_:_beta-Adrenoceptor Antagonists,NCGC00188863-01,ADRA1A,G9
alpha_:_beta-Adrenoceptor Antagonists,NCGC00188863-01,DRD2,G8
Dopamine D2 Antagonist,NCGC00188864-01,DRD2,G9
Dopamine D2 Antagonist,NCGC00188864-01,CERS1,G8
multi-kinase,NCGC00188865-02,CERS1,G9
multi-kinase,NCGC00188865-02,RAC1,G9
Mek1/2 inibitor,NCGC00189073-02,MAP2K1,G8
MEK inhibitor,NCGC00189074-01,MAP2K1,G8
MEK inhibitor,NCGC00189075-01,MAP2K1,G9
MEK inhibitor,NCGC00189075-01,EHMT2,G9
Histone-lysine N-methyltransferase EHMT2 Inhibitor,NCGC00189220-05,BLM,G8
BLM inhibitor,NCGC00189393-03,BLM,G9
BLM inhibitor,NCGC00189393-03,ITK,G8
ITK inhibitor,NCGC00229512-04,ITK,G9
thymidylate synthase inhibitor,NCGC00229704-01,PRKCA,G8
PKCa_:_ PKCb_:_ PKCg inhbitor,NCGC00238452-02,PRKCA,G9
Anaplastic Lymphoma Kinase (ALK) Inhibitor,NCGC00238453-01,PRKCA,G8
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,G9
Clk Inhibitor,NCGC00241342-02,IRAK1,G8
IRAK Inhibitor,NCGC00241410-01,IRAK1,G9
IRAK Inhibitor,NCGC00241410-01,ROCK1,G8
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,ROCK1,G9
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00242217-04,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,CHEK1,G8
Chk1/2 Inhibitor,NCGC00242481-02,CHEK1,G9
Aurora-A/B/C Kinase Inhibitor,NCGC00242482-01,MAPK7,G9
ERK inhibitor,NCGC00242487-01,SRC,G8
cSRC inhibitor,NCGC00242490-02,SRC,G9
cSRC inhibitor,NCGC00242490-02,,G8
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,,G9
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,PSMD1,G8
Proteasome Inhibitor,NCGC00242506-02,PSMD1,G9
Proteasome Inhibitor,NCGC00242506-02,BIRC5,G8
Survivin inhibitor,NCGC00242514-01,BIRC5,G9
Dihydrofolate Reductase (DHFR) Inhibitors,NCGC00242596-01,JAK1,G8
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G9
Jak/Tyk/Flt inhibitor,NCGC00244256-02,,G8
antiinfluenza drug,NCGC00246387-02,,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00247878-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00247879-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00247879-01,JAK2,G8
Jak2 inhibitor,NCGC00249346-02,JAK2,G9
Jak2 inhibitor,NCGC00249346-02,BRAF,G8
Raf kinase B/C inhibitor,NCGC00249391-01,FLT1,G8
VEGFR-2 inhibitor,NCGC00249393-01,FLT1,G9
VEGFR-2 inhibitor,NCGC00249393-01,PSMD1,G8
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G8
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G9
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G8
Proteasome Inhibitor,NCGC00249613-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249613-03,IGFR1,G8
IGF-1R Inhibitors,NCGC00250375-02,CAMKK2,G8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,G9
5-HT4 Antagonists,NCGC00250378-01,BRAF,G8
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,G9
Raf kinase B/C Inhibitor,NCGC00250380-01,SMO,G8
Smo Receptor Antagonist,NCGC00250382-01,SMO,G9
IRE1alpha/XBP-1 inhibitor,NCGC00250383-01,IKBKE,G8
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,G9
IKK-epsilon Inhibitor,NCGC00250386-02,PDK2,G8
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,PDK2,G9
TNKS1/TNKS2 Inhibitor,NCGC00250397-01,CDK1,G8
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,G9
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,COX10,G8
Raf kinase B/C inhibitor,NCGC00250407-01,PIK3CA,G8
PI3Kalpha/beta/delta/gamma Inhibitor,NCGC00250408-01,BRD4,G8
Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor,NCGC00250412-01,BRD4,G9
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00253438-01,BCL2L1,G8
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,G9
Bcl-xL inhibitor,NCGC00253562-02,SLC6A4,G9
Serotonin Transporter (SERT) Inhibitor,NCGC00253658-02,,G8
Antifungal Agent,NCGC00253713-02,,G9
Antifungal Agent,NCGC00253713-02,MAPK14,G8
p38 MAPK Inhibitor,NCGC00262195-02,JAK2,G8
Jak2 inhibitor,NCGC00262608-02,JAK2,G9
Jak2 inhibitor,NCGC00262608-02,TLR4,G8
TLR4 (LPS) inhibitor,NCGC00263015-01,TLR4,G9
TLR4 (LPS) inhibitor,NCGC00263015-01,TRPV4,G8
TRPV4 Antagonist,NCGC00263016-01,TRPV4,G9
TLR 7_:_ 8 and 9 antagonist,NCGC00263017-01,SMO,G8
Smoothened (Smo) receptor agonist,NCGC00263084-02,SMO,G9
Smoothened (Smo) receptor agonist,NCGC00263084-02,RPS6KA1,G8
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,RPS6KA1,G9
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263087-01,PIK3CA,G8
PI3K/PDK1 Inhibitor,NCGC00263088-01,PIK3CA,G9
monopolar spindle 1 (Mps1)?kinase inhibitor,NCGC00263090-01,IL2,G8
IL-12 Production Inhibitor,NCGC00263093-01,IL2,G9
PKC inhibitor,NCGC00263095-01,ATM,G8
ATM Kinase Inhibitor,NCGC00263099-01,ATM,G9
VEGFR-2 Inhibitor,NCGC00263100-01,ERBB2,G8
HER2 (erbB2) Inhibitor,NCGC00263101-01,ERBB2,G9
HER2 (erbB2) Inhibitor,NCGC00263101-01,KDR,G8
VEGFR-2 Inhibitor,NCGC00263104-01,KDR,G9
VEGFR-2 Inhibitor,NCGC00263104-01,PLK1,G8
PKC beta Inhibitor,NCGC00263119-01,AR,G8
Androgen Receptor Antagonist,NCGC00263120-01,AR,G9
Androgen Receptor Antagonist,NCGC00263120-01,FAAH,G9
Fatty Acid Amide Hydrolase (FAAH) Inhibitor,NCGC00263131-01,RPS6KB1,G8
p70 ribosomal S6 kinase (S6K1) inhibitor,NCGC00263134-01,RPS6KB1,G9
p70 ribosomal S6 kinase (S6K1) inhibitor,NCGC00263134-01,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,AKT1,G8
Akt1/PKA Inhibitor,NCGC00263147-01,AKT1,G9
Akt1/PKA Inhibitor,NCGC00263147-01,,G8
FGFR Inhibitor,NCGC00263152-02,,G9
FGFR Inhibitor,NCGC00263152-02,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,PDGFRA,G8
PDGFR alpha Inhibitor,NCGC00263158-01,PDGFRA,G9
PDGFR alpha Inhibitor,NCGC00263158-01,BCL2L1,G8
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,G9
Bcl-xL inhibitor,NCGC00263166-01,SMO,G8
Smoothened (Smo) Receptor Antagonist,NCGC00263170-01,SMO,G9
Kinesin-Like Spindle Protein Inhibitor,NCGC00263174-01,AURKA,G8
Aurora-A Inhibitor,NCGC00263178-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00263180-01,WEE1,G8
Wee1 Kinase Inhibitor,NCGC00263183-01,PIM1,G8
Pim-1/Flt3 Inhibitor,NCGC00263186-02,PIM1,G9
Pim-1/Flt3 Inhibitor,NCGC00263186-02,MAP2K1,G8
MEK inhibitor,NCGC00263187-01,MAP2K1,G9
MEK inhibitor,NCGC00263187-01,CSF1R,G8
CSF1R (c-FMS) Inhibitor,NCGC00263193-01,MET,G8
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,MET,G9
Aurora-A/B/C Kinase Inhibitor,NCGC00263203-02,LCK,G8
Lck Kinase Inhibitors,NCGC00263206-02,LCK,G9
Lck Kinase Inhibitors,NCGC00263206-02,SMO,G8
Smoothened (Smo) Receptor Antagonist,NCGC00263210-01,SMO,G9
Alcohol dehydrogenase 7 inhibitor,NCGC00263211-01,TRPV4,G8
TRPV4 Antagonist,NCGC00263214-01,TRPV4,G9
TRPV4 Antagonist,NCGC00263214-01,MTOR,G8
mTORC1 Inhibitor,NCGC00263216-02,,G8
P-Glycoprotein (MDR-1) Inhibitor,NCGC00263219-01,HDAC1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,IDO1,G8
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,IDO1,G9
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,,G8
artemesinin analogue,NCGC00263265-01,,G9
artemesinin analogue,NCGC00263265-01,,G8
artemesinin analogue,NCGC00263268-01,,G9
artemesinin analogue,NCGC00263268-01,,G8
artemesinin analogue,NCGC00263270-01,,G9
artemesinin analogue,NCGC00263270-01,HTR2A,G9
5-HT2A Antagonists?,NCGC00263539-03,USP10,G8
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,G9
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,,G8
K(ATP) Channel Activators,NCGC00263564-02,,G9
K(ATP) Channel Activators,NCGC00263564-02,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00263617-05,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00263918-04,,G9
Calcium-Sensing Receptor (CaSR) Agonists,NCGC00344507-02,,G8
Opioid receptor antagonist,NCGC00344511-02,,G9
Opioid receptor antagonist,NCGC00344511-02,OPRL1,G9
ORL1 (OP4_:_ NOP) Antagonists,NCGC00344513-01,,G8
DOT1L Inhibitor,NCGC00344622-02,,G9
DOT1L Inhibitor,NCGC00344622-02,PSMD1,G8
Proteasome Inhibitor,NCGC00344630-01,PSMD1,G9
Proteasome Inhibitor,NCGC00344630-01,ITK,G8
ITK inhibitor,NCGC00344990-01,ITK,G9
ITK inhibitor,NCGC00344999-01,SHH,G9
Hedgehog antagonist,NCGC00345084-01,JAK2,G8
Jak2 inhibitor,NCGC00345461-02,JAK2,G9
Jak2 inhibitor,NCGC00345461-02,HDAC1,G8
HDAC Inhibitor,NCGC00345539-02,HDAC1,G9
HDAC Inhibitor,NCGC00345539-02,IKBKB,G8
IKK Inhibitor,NCGC00345782-01,IKBKB,G9
IKK Inhibitor,NCGC00345782-01,PAK4,G9
p21-Activated Kinase 4 (PAK4) Inhibitors,NCGC00345784-01,PDE4A,G8
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00345792-01,PDE4A,G9
Jak2 inhibitor,NCGC00345798-01,PSMD1,G8
Proteasome Inhibitor,NCGC00345799-01,PSMD1,G9
Proteasome Inhibitor,NCGC00345799-01,IMPDH1,G8
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,IMPDH1,G9
Mek 1/2 inhibitor,NCGC00345804-01,CDK1,G8
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,G9
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,STAT3,G8
STAT-3 Inhibitor,NCGC00345811-01,STAT3,G9
STAT-3 Inhibitor,NCGC00345811-01,FLT1,G8
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345821-01,LIMK1,G8
LIMK Inhibitor,NCGC00345825-01,MAPK8,G8
ROCK II Inhibitor,NCGC00345833-01,MAPK14,G8
p38 MAPK Inhibitor,NCGC00345834-01,MAPK14,G9
p38 MAPK Inhibitor,NCGC00345834-01,AKT1,G8
AKT Inhibitor,NCGC00345840-01,AKT1,G9
Tyk 2 inhibitor,NCGC00345844-01,JAK2,G8
Jak2 inhibitor,NCGC00345845-01,JAK2,G9
Jak2 inhibitor,NCGC00345845-01,JAK2,G8
Jak2 inhibitor,NCGC00345846-01,JAK2,G9
Jak2 inhibitor,NCGC00345846-01,MAPK8,G8
JNK Inhibitor,NCGC00345850-01,MAPK8,G9
JNK Inhibitor,NCGC00345850-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,G9
CSF1R (c-FMS) Inhibitor,NCGC00345853-01,JAK2,G8
Jak2 inhibitor,NCGC00345854-01,BTK,G8
BTK Inhibitor,NCGC00345857-01,FLT1,G8
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345858-01,FLT1,G9
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345858-01,AVPR1A,G9
Vasopressin (AVP) V1a/V2 Antagonists,NCGC00345881-02,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,SLC6A3,G9
Dopamine Transporter (DAT) Inhibitor,NCGC00346439-01,SPHK2,G8
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,SPHK2,G9
P-Glycoprotein (MDR-1) Inhibitor,NCGC00346448-01,AKT1,G8
PKB/Akt Inhibitor,NCGC00346450-01,AKT1,G9
PKB/Akt Inhibitor,NCGC00346450-01,MAP2K1,G8
Mek Inhibitor,NCGC00346455-01,MAP2K1,G9
IGF-1R Inhibitor,NCGC00346460-02,PSMD1,G8
Proteasome Inhibitor,NCGC00346469-01,PSMD1,G9
EGFR (HER1; erbB1) Inhibitor,NCGC00346483-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346484-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346484-01,IGFR1,G8
IGF-1R Inhibitor,NCGC00346485-01,IGFR1,G9
IGF-1R Inhibitor,NCGC00346485-01,HDAC1,G8
HDAC Inhibitor,NCGC00346486-01,HDAC1,G9
HDAC Inhibitor,NCGC00346486-01,HDAC1,G8
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,G9
EGFR (HER1; erbB1) Inhibitor,NCGC00346496-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346500-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346500-01,NOTCH1,G9
g-Secretase Inhibitor,NCGC00346504-01,PIK3CA,G8
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,G9
PI3Kalpha inhibitor,NCGC00346509-01,,G8
Bcr-Abl Kinase Inhibitor,NCGC00346514-01,,G9
Bcr-Abl Kinase Inhibitor,NCGC00346514-01,,G8
Macrolide Antibiotic,NCGC00346523-01,,G9
Macrolide Antibiotic,NCGC00346523-01,,G8
Polyether Antibiotic,NCGC00346524-01,,G9
Polyether Antibiotic,NCGC00346524-01,AURKA,G8
Aurora A Inhibitor,NCGC00346525-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00346530-01,,G8
HCV NS5A Inhibitors,NCGC00346533-01,,G9
HCV NS5A Inhibitors,NCGC00346533-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346536-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346536-01,MAPK14,G8
p38 MAPK Inhibitor,NCGC00346537-01,MAPK14,G9
p38 MAPK Inhibitor,NCGC00346537-01,,G9
Antifungal Agent,NCGC00346538-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346539-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346542-01,AURKA,G9
CFTR Channel Modulator,NCGC00346550-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00346552-01,MAP2K1,G9
CDK7 Inhibitor,NCGC00346553-01,TEK,G9
Tie-2 kinase inhibitor,NCGC00346554-01,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00346558-01,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00346563-01,MAP2K1,G8
MEK inhibitor,NCGC00346567-01,MAP2K1,G9
MEK inhibitor,NCGC00346567-01,GPR119,G9
Jak2/3 Inhibitor,NCGC00346581-01,ERBB2,G8
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,G9
Alkaloid,NCGC00346589-01,,G8
5-HT Release Inhibitor,NCGC00346591-01,,G9
PDGFR Inhibitor,NCGC00346619-01,PDE4A,G8
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00346620-01,PDE4A,G9
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00346620-01,SYK,G8
Syk Kinase inhibitor,NCGC00346622-01,SYK,G9
Syk Kinase inhibitor,NCGC00346622-01,CHEK1,G8
Chk1 Inhibitor,NCGC00346626-01,GCK,G8
Glucokinase activator,NCGC00346628-01,,G9
HIV Integrase Inhibitors,NCGC00346629-01,PDE10A,G8
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,G9
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346640-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346643-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346643-01,SRC,G8
Src Kinase Inhibitors,NCGC00346644-01,SRC,G9
Aurora-B/C Inhibitor,NCGC00346648-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,G9
Aurora Kinase Inhibitor,NCGC00346652-01,MTOR,G8
mTORC1/2 inhibitor,NCGC00346654-01,MTOR,G9
Dipeptidyl Peptidase IV (CD26; DPP-IV; DP-IV) Inhibitor,NCGC00346655-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,G9
CDK1/2/5/9 inhibitor,NCGC00346656-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346658-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,AURKA,G8
Aurora-A/B/C Kinase Inhibitor,NCGC00346676-01,AURKA,G9
Aurora-A/B/C Kinase Inhibitor,NCGC00346676-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346681-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346681-01,PIKFYVE,G8
PIKfyve Inhibitor,NCGC00346683-01,PIKFYVE,G9
PIKfyve Inhibitor,NCGC00346683-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346685-01,PDPK1,G8
Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,NCGC00346687-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346692-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346692-01,COX10,G9
Farnesyltransferase Inhibitor,NCGC00346707-01,,G8
photosensitizer,NCGC00346712-01,,G9
photosensitizer,NCGC00346712-01,BRAF,G8
Raf kinase B Inhibitor,NCGC00346716-01,BRAF,G9
Raf kinase B Inhibitor,NCGC00346716-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346718-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,G9
Androgen Receptor Agonist,NCGC00346733-01,,G8
P-Glycoprotein (MDR-1) Inhibitor,NCGC00346735-01,,G9
P-Glycoprotein (MDR-1) Inhibitor,NCGC00346735-01,TBXA2R,G8
Prostanoid TP Agonist,NCGC00346741-01,HDAC1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,CDK1,G8
CDK1/2/4/6,NCGC00346827-01,CDK1,G9
ORL1 (OP4_:_ NOP) Agonists,NCGC00346896-01,PTK2,G8
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,G9
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,LCK,G8
Lyn Kinase Inhibitor,NCGC00346933-01,LCK,G9
Tubulin polymerization inhibitor,NCGC00346937-01,,G8
Thrombin Inhibitors,NCGC00346938-01,,G9
ITK inhibitor,NCGC00346941-01,CDK4,G8
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G9
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G8
CDK4/6 Inhibitor,NCGC00346952-01,CDK4,G9
CDK4/6 Inhibitor,NCGC00346952-01,LCK,G8
Lck Kinase Inhibitors,NCGC00346955-01,ABL1,G8
Bcr-Abl inhibitor,NCGC00346956-01,LCK,G8
Lck Kinase Inhibitors,NCGC00346959-01,DDR1,G8
discoidin domain receptor tyrosine kinase (DDR1),NCGC00346961-01,DDR1,G9
discoidin domain receptor tyrosine kinase (DDR1),NCGC00346961-01,CSF1R,G8
CSF1R (c-FMS) Inhibitor,NCGC00346963-01,CSF1R,G9
CSF1R (c-FMS) Inhibitor,NCGC00346963-01,FLT3,G8
FLT4,NCGC00346965-01,SPHK1,G8
Sphingosine Kinase 1 (SphK1) Inhibitors,NCGC00346972-01,SPHK1,G9
Sphingosine Kinase 1 (SphK1) Inhibitors,NCGC00346972-01,,G8
p97 ATPase Inhibitor,NCGC00347064-01,,G8
p97 ATPase Inhibitor,NCGC00347066-01,,G9
p97 ATPase Inhibitor,NCGC00347066-01,DDR1,G8
discoidin domain receptor tyrosine kinase (DDR1),NCGC00347217-01,DDR1,G9
discoidin domain receptor tyrosine kinase (DDR1),NCGC00347217-01,AKT1,G8
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,G9
ACK1/TNK2 Inhibitor,NCGC00347279-01,,G8
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,G9
EZH2 Methyltransferase Inhibitor,NCGC00347286-01,P2RX3,G8
P2X3/P2X2 Receptor Antagonist,NCGC00347903-01,P2RX3,G9
P2X3/P2X2 Receptor Antagonist,NCGC00347903-01,P2RX7,G8
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00347910-01,SIRT2,G9
Histone Deacetylase SIRT2 Inhibitors,NCGC00347936-01,,G9
Porcupine (Wnt) Inhibitor,NCGC00347948-01,,G9
Porcupine (Wnt) Inhibitor,NCGC00347950-01,,G8
Oct4 Activator,NCGC00347953-01,,G9
Oct4 Activator,NCGC00347953-01,SHH,G8
Hedgehog agonist,NCGC00347954-01,SHH,G9
Hedgehog agonist,NCGC00347954-01,NR1D1,G8
Rev-erb alpha agonist,NCGC00347956-01,NR1D1,G9
Rev-erb alpha agonist,NCGC00347956-01,,G8
beta Cell Proliferation Inducer,NCGC00347958-01,,G9
beta Cell Proliferation Inducer,NCGC00347958-01,CSF1R,G8
CSF1R (c-FMS) Inhibitor,NCGC00348107-01,SHH,G9
Hedgehog pathway inhibitor,NCGC00014352-03,,G9
Calcium Channel Blocker,NCGC00014926-03,CYP2C9,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00015233-04,SLC6A4,G9
Serotonin Transporter (SERT) Inhibitor,NCGC00015264-08,,G9
Dopamine Reuptake Inhibitor,NCGC00015300-05,,G9
antimalarial agents,NCGC00015349-06,PDE5A,G9
Phosphodiesterase III/V (PDE5) inhibitor,NCGC00015385-12,,G9
Dopamine Reuptake Inhibitor,NCGC00015484-06,OPRM1,G9
Jak inhibitor,NCGC00015610-18,PDE3A,G9
Phosphodiesterase III (PDE3) Inhibitor,NCGC00015675-03,GRM5,G9
